[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing AlexNet_CIFAR100_Conv2dRFFTFunction_date-20240212-071549.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Conv2dRFFTPhasorFunction Step#10        12.09%        2.133s        12.98%        2.290s        2.290s       0.000us         0.00%     565.339ms     565.339ms          -4 b     -36.77 Mb           0 b    -230.25 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        12.09%        2.133s        12.97%        2.288s        2.288s       0.000us         0.00%     565.416ms     565.416ms          -4 b     -36.77 Mb           0 b    -229.92 Mb             1            --  
                                            aten::randn         0.00%     211.000us         3.18%     559.988ms      69.999ms       0.000us         0.00%       0.000us       0.000us     147.10 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         3.17%     559.375ms         3.17%     559.375ms      69.922ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.00%     619.000us         0.42%      74.673ms       4.667ms       0.000us         0.00%        4.187s     261.708ms           0 b           0 b     884.58 Mb    -364.38 Mb            16            --  
                       Conv2dRFFTPhasorFunctionBackward         0.06%      10.228ms         0.42%      74.054ms       4.628ms       0.000us         0.00%        4.187s     261.708ms           0 b           0 b       1.22 Gb    -533.25 Gb            16            --  
                               Conv2dRFFTPhasorFunction         0.03%       5.388ms         0.22%      38.802ms       2.425ms       0.000us         0.00%        2.197s     137.285ms           0 b           0 b     285.19 Mb    -267.58 Gb            16            --  
                                       cudaLaunchKernel         0.18%      32.494ms         0.18%      32.494ms      14.277us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2276            --  
                                              aten::abs         0.03%       5.185ms         0.14%      24.948ms     129.938us       0.000us         0.00%      56.952ms     296.625us           0 b           0 b       1.68 Gb      -4.76 Gb           192            --  
                                        aten::fft_rfftn         0.01%     951.000us         0.13%      22.168ms     277.100us       0.000us         0.00%     125.257ms       1.566ms           0 b           0 b       2.95 Gb      -2.24 Gb            80            --  
                                            aten::angle         0.03%       4.857ms         0.12%      21.436ms     111.646us       0.000us         0.00%      56.932ms     296.521us           0 b           0 b       3.35 Gb      -4.76 Gb           192            --  
                                       aten::fft_irfftn         0.00%     370.000us         0.11%      19.027ms     396.396us       0.000us         0.00%     256.491ms       5.344ms           0 b           0 b       1.59 Gb           0 b            48            --  
                                         aten::_fft_c2r         0.03%       4.628ms         0.11%      18.657ms     388.688us     228.610ms         2.66%     256.491ms       5.344ms           0 b           0 b       1.59 Gb      -9.73 Gb            48            --  
                                         aten::_fft_r2c         0.04%       6.176ms         0.08%      14.435ms     180.438us     108.017ms         1.25%     108.017ms       1.350ms           0 b           0 b       2.86 Gb      -5.83 Gb            80            --  
                                  aten::constant_pad_nd         0.01%       2.123ms         0.06%      11.460ms     143.250us       0.000us         0.00%      24.325ms     304.062us           0 b           0 b       2.81 Gb           0 b            80            --  
                                              aten::mul         0.03%       5.745ms         0.06%      10.972ms      57.146us        4.295s        49.88%        4.295s      22.368ms          -8 b          -8 b     495.00 Gb     495.00 Gb           192     53269.496  
                                              aten::sum         0.02%       4.087ms         0.04%       6.789ms      84.862us     865.452ms        10.05%     865.452ms      10.818ms           0 b           0 b       1.67 Gb       1.67 Gb            80            --  
                                            aten::empty         0.04%       6.780ms         0.04%       6.780ms       9.212us       0.000us         0.00%       0.000us       0.000us     147.10 Mb     147.10 Mb      22.92 Gb      22.92 Gb           736            --  
                                            aten::clone         0.00%     742.000us         0.04%       6.353ms      52.942us       0.000us         0.00%      41.480ms     345.667us           0 b           0 b       4.58 Gb           0 b           120            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     804.000us         0.04%       6.222ms     518.500us       0.000us         0.00%       9.451ms     787.583us           0 b           0 b     835.44 Mb     -21.00 Mb            12            --  
                                              aten::pad         0.00%     241.000us         0.03%       4.919ms     153.719us       0.000us         0.00%       7.085ms     221.406us           0 b           0 b     492.19 Mb           0 b            32            --  
                                         AddmmBackward0         0.00%     660.000us         0.02%       4.274ms     356.167us       0.000us         0.00%       9.315ms     776.250us           0 b           0 b     856.31 Mb           0 b            12            --  
                                              aten::exp         0.02%       3.971ms         0.02%       3.971ms      82.729us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     198.00 Gb     198.00 Gb            48            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%     631.000us         0.02%       3.876ms      57.000us       0.000us         0.00%      11.795ms     173.456us           0 b           0 b      -1.80 Gb           0 b            68            --  
                                       aten::empty_like         0.00%     848.000us         0.02%       3.696ms      20.533us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.46 Gb           0 b           180            --  
                                             aten::real         0.01%       1.306ms         0.02%       3.485ms      18.151us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
