[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing ResNet18_CIFAR100_Conv2dRFFTFunction_date-20240212-220618.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
        autograd::engine::evaluate_function: TBackward0         0.00%      32.000us         0.00%      83.000us      20.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      27.000us         0.00%      82.000us      20.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 78.461s
Self CUDA time total: 39.132s
[0m
[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing ResNet18_CIFAR100_Conv2dRFFTPhasorFunction_date-20240212-220618.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     321.000us        50.38%       28.823s        7.206s       0.000us         0.00%        7.410s        1.853s      24.98 Kb      -1.05 Kb           0 b           0 b             4            --  
                                            aten::copy_         0.02%      10.830ms        28.95%       16.563s      12.624ms     506.267ms         1.78%     506.267ms     385.874us           0 b           0 b           0 b           0 b          1312            --  
                                        cudaMemcpyAsync        26.67%       15.259s        26.67%       15.259s      90.828ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%      99.000us        26.15%       14.958s     934.872ms       0.000us         0.00%     115.090ms       7.193ms     147.00 Mb           0 b     147.10 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     211.000us        26.15%       14.958s        1.246s       0.000us         0.00%     115.090ms       9.591ms     147.00 Mb           0 b     147.10 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%      65.000us        26.09%       14.926s        3.732s       0.000us         0.00%      84.762ms      21.191ms     147.00 Mb           0 b    -147.00 Mb    -147.00 Mb             4            --  
                                        ToCopyBackward0         0.00%      17.000us        26.09%       14.926s        3.731s       0.000us         0.00%      84.762ms      21.191ms     147.00 Mb           0 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        20.01%       11.447s        20.01%       11.447s       1.786ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6408            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.00%     763.000us        18.98%       10.858s     208.806ms       0.000us         0.00%       14.158s     272.273ms           0 b           0 b       2.56 Gb      -2.63 Gb            52            --  
                       Conv2dRFFTPhasorFunctionBackward         0.03%      15.165ms        18.68%       10.687s     205.519ms       0.000us         0.00%       14.151s     272.125ms           0 b           0 b       4.64 Gb   -1788.13 Gb            52            --  
                       Conv2dRFFTPhasorFunction Step#10        12.42%        7.107s        12.60%        7.207s        7.207s       0.000us         0.00%        1.853s        1.853s          -4 b     -36.77 Mb           0 b      -1.73 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        12.42%        7.105s        12.60%        7.206s        7.206s       0.000us         0.00%        1.853s        1.853s          -4 b     -36.77 Mb           0 b      -1.73 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        12.42%        7.106s        12.59%        7.205s        7.205s       0.000us         0.00%        1.853s        1.853s      25.00 Kb     -36.75 Mb           0 b      -1.73 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#9        12.42%        7.105s        12.59%        7.205s        7.205s       0.000us         0.00%        1.853s        1.853s          -4 b     -36.77 Mb           0 b      -1.73 Gb             1            --  
                                       aten::fft_irfftn         0.00%     542.000us         4.57%        2.613s      16.751ms       0.000us         0.00%     503.073ms       3.225ms           0 b           0 b       6.10 Gb           0 b           156            --  
                                         aten::_fft_c2r         0.01%       8.024ms         4.57%        2.613s      16.748ms     394.255ms         1.38%     503.073ms       3.225ms           0 b           0 b       6.10 Gb     -21.42 Gb           156            --  
                                        aten::fft_rfftn         0.00%       1.502ms         4.35%        2.486s       9.562ms       0.000us         0.00%     461.189ms       1.774ms           0 b           0 b      11.54 Gb      -5.91 Gb           260            --  
                                              aten::mul         0.02%      10.904ms         4.07%        2.330s       3.735ms       14.535s        50.98%       14.535s      23.293ms        -184 b        -184 b    1656.56 Gb    1656.56 Gb           624    178493.719  
                                         aten::_fft_r2c         0.02%       9.385ms         3.12%        1.784s       6.861ms     401.985ms         1.41%     401.985ms       1.546ms           0 b           0 b       9.63 Gb     -23.95 Gb           260            --  
                                            aten::angle         0.72%     410.657ms         2.80%        1.604s       2.571ms       0.000us         0.00%     217.602ms     348.721us           0 b           0 b      13.14 Gb     -18.08 Gb           624            --  
                                              aten::abs         0.76%     436.684ms         2.70%        1.543s       2.473ms       0.000us         0.00%     217.744ms     348.949us           0 b           0 b       4.95 Gb     -18.08 Gb           624            --  
                                  aten::constant_pad_nd         0.01%       3.366ms         2.04%        1.166s       4.486ms       0.000us         0.00%     102.003ms     392.319us           0 b           0 b      10.74 Gb           0 b           260            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%       1.270ms         1.85%        1.056s       4.190ms       0.000us         0.00%       4.482ms      17.786us           0 b           0 b      -3.21 Gb           0 b           252            --  
                                             aten::add_         0.01%       3.388ms         1.84%        1.055s       2.931ms      14.083ms         0.05%      14.083ms      39.119us          -8 b          -8 b        -512 b        -512 b           360            --  
                        torch::autograd::AccumulateGrad         0.00%       1.336ms         1.84%        1.055s       4.185ms       0.000us         0.00%       4.482ms      17.786us           0 b           0 b      -3.21 Gb      -3.21 Gb           252            --  
                                              aten::exp         1.38%     792.093ms         1.38%     792.093ms       5.078ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     662.62 Gb     662.62 Gb           156            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%     344.000us         1.34%     764.353ms      27.298ms       0.000us         0.00%     121.071ms       4.324ms           0 b           0 b    -607.11 Mb      -1.77 Gb            28            --  
                                   ConvolutionBackward0         0.00%     193.000us         1.33%     761.826ms      27.208ms       0.000us         0.00%     116.698ms       4.168ms           0 b           0 b     862.89 Mb           0 b            28            --  
                             aten::convolution_backward         0.00%       1.940ms         1.33%     761.633ms      27.201ms     116.698ms         0.41%     116.698ms       4.168ms           0 b           0 b     862.89 Mb     832.79 Mb            28            --  
                                              aten::sum         0.01%       5.186ms         1.19%     679.753ms       4.248ms        2.921s        10.24%        2.921s      18.255ms           0 b           0 b       6.54 Gb       6.54 Gb           160            --  
                                            aten::fill_         0.00%       1.791ms         1.18%     674.870ms       2.556ms      46.087ms         0.16%      46.087ms     174.572us           0 b           0 b           0 b           0 b           264            --  
                                             aten::mul_         0.00%       1.310ms         0.89%     507.747ms       3.255ms       0.000us         0.00%      52.859ms     338.840us           0 b         184 b           0 b           0 b           156            --  
                                              aten::pad         0.00%     343.000us         0.81%     465.746ms       4.478ms       0.000us         0.00%      42.799ms     411.529us           0 b           0 b       2.92 Gb           0 b           104            --  
                                              aten::add         0.01%       2.956ms         0.71%     408.427ms       2.172ms        2.767s         9.70%        2.767s      14.716ms           0 b           0 b     332.20 Gb     332.20 Gb           188       859.308  
                                            aten::clone         0.00%       1.840ms         0.70%     398.029ms     956.800us       0.000us         0.00%     161.247ms     387.613us           0 b           0 b      17.80 Gb           0 b           416            --  
