-----------------------------------------------------------------------------------------------------------------------------
Showing AlexNet_CIFAR10_Conv2dRFFTFunction_date-20240129-044012.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::randn         0.00%     154.000us         2.86%     506.680ms      63.335ms       0.000us         0.00%       0.000us       0.000us     147.01 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         2.85%     506.030ms         2.85%     506.030ms      63.254ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.00%     342.000us         0.31%      55.787ms       3.487ms       0.000us         0.00%        4.187s     261.718ms           0 b           0 b     875.55 Mb    -363.16 Mb            16            --  
                       Conv2dRFFTPhasorFunctionBackward         0.03%       5.871ms         0.31%      55.445ms       3.465ms       0.000us         0.00%        4.187s     261.718ms           0 b           0 b       1.21 Gb    -533.25 Gb            16            --  
                               Conv2dRFFTPhasorFunction         0.03%       4.999ms         0.21%      37.725ms       2.358ms       0.000us         0.00%        2.197s     137.290ms           0 b           0 b     285.91 Mb    -267.56 Gb            16            --  
                                       cudaLaunchKernel         0.16%      28.665ms         0.16%      28.665ms      12.594us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2276            --  
                                              aten::abs         0.02%       4.354ms         0.12%      20.724ms     107.938us       0.000us         0.00%      57.028ms     297.021us           0 b           0 b       1.67 Gb      -4.76 Gb           192            --  
                                            aten::angle         0.02%       4.420ms         0.11%      20.043ms     104.391us       0.000us         0.00%      56.965ms     296.693us           0 b           0 b       3.34 Gb      -4.76 Gb           192            --  
                                        aten::fft_rfftn         0.00%     705.000us         0.10%      17.300ms     216.250us       0.000us         0.00%     125.414ms       1.568ms           0 b           0 b       2.95 Gb      -2.31 Gb            80            --  
                                       aten::fft_irfftn         0.00%     236.000us         0.09%      15.779ms     328.729us       0.000us         0.00%     256.737ms       5.349ms           0 b           0 b       1.58 Gb           0 b            48            --  
                                         aten::_fft_c2r         0.02%       3.878ms         0.09%      15.543ms     323.812us     228.864ms         2.64%     256.737ms       5.349ms           0 b           0 b       1.58 Gb      -9.73 Gb            48            --  
                                         aten::_fft_r2c         0.03%       4.834ms         0.07%      11.620ms     145.250us     108.185ms         1.25%     108.185ms       1.352ms           0 b           0 b       2.95 Gb      -5.74 Gb            80            --  
                                  aten::constant_pad_nd         0.01%       1.765ms         0.06%      11.211ms     140.137us       0.000us         0.00%      24.299ms     303.738us           0 b           0 b       2.79 Gb           0 b            80            --  
                                              aten::mul         0.03%       4.827ms         0.05%       9.256ms      48.208us        4.295s        49.63%        4.295s      22.368ms          -8 b          -8 b     495.00 Gb     495.00 Gb           192     53269.496  
                                              aten::pad         0.00%     199.000us         0.04%       6.435ms     201.094us       0.000us         0.00%       7.070ms     220.938us           0 b           0 b     487.16 Mb           0 b            32            --  
                                            aten::empty         0.04%       6.348ms         0.04%       6.348ms       8.625us       0.000us         0.00%       0.000us       0.000us     147.01 Mb     147.01 Mb      22.89 Gb      22.89 Gb           736            --  
                                              aten::sum         0.02%       3.199ms         0.03%       5.282ms      66.025us     865.417ms        10.00%     865.417ms      10.818ms           0 b           0 b       1.67 Gb       1.67 Gb            80            --  
                                            aten::clone         0.00%     761.000us         0.03%       5.257ms      43.808us       0.000us         0.00%      41.503ms     345.858us           0 b           0 b       4.58 Gb           0 b           120            --  
                                            aten::fill_         0.01%     951.000us         0.02%       4.304ms      44.833us      12.671ms         0.15%      12.671ms     131.990us           0 b           0 b           0 b           0 b            96            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     467.000us         0.02%       3.599ms     299.917us       0.000us         0.00%       9.382ms     781.833us           0 b           0 b     830.56 Mb     -21.00 Mb            12            --  
                                             aten::real         0.01%       1.182ms         0.02%       3.118ms      16.240us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%     516.000us         0.02%       2.825ms      41.544us       0.000us         0.00%      11.747ms     172.750us           0 b           0 b      -1.79 Gb           0 b            68            --  
                                              aten::exp         0.01%       2.529ms         0.01%       2.529ms      52.688us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     198.00 Gb     198.00 Gb            48            --  
                                         AddmmBackward0         0.00%     407.000us         0.01%       2.438ms     203.167us       0.000us         0.00%       9.250ms     770.833us           0 b           0 b     851.44 Mb           0 b            12            --  
                                              aten::add         0.01%       1.436ms         0.01%       2.434ms      38.031us     779.547ms         9.01%     779.547ms      12.180ms           0 b           0 b      99.28 Gb      99.28 Gb            64       193.872  
                                          aten::resize_         0.01%       2.409ms         0.01%       2.409ms       5.736us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.35 Gb       8.35 Gb           420            --  
