-----------------------------------------------------------------------------------------------------------------------------
Showing EfficientNetB3_CIFAR10_Conv2dRFFTFunction_date-20240129-071732.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CUDA time total: 44.928s

-----------------------------------------------------------------------------------------------------------------------------
Showing EfficientNetB3_CIFAR10_Conv2dRFFTPhasorFunction_date-20240129-071732.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     213.000us        56.11%       33.592s        8.398s       0.000us         0.00%        8.699s        2.175s      18.38 Mb      -1.05 Kb           0 b           0 b             4            --  
                                       cudaLaunchKernel        36.92%       22.102s        36.92%       22.102s     717.597us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         30800            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.01%       8.333ms        33.54%       20.083s      48.744ms       0.000us         0.00%       16.939s      41.113ms           0 b           0 b      11.08 Gb      -3.56 Gb           412            --  
                       Conv2dRFFTPhasorFunctionBackward         0.22%     134.079ms        33.46%       20.033s      48.624ms       0.000us         0.00%       16.937s      41.109ms           0 b           0 b      14.49 Gb   -1922.25 Gb           412            --  
                                            aten::copy_         0.15%      88.559ms        16.90%       10.120s       1.077ms        1.069s         3.20%        1.069s     113.679us           0 b           0 b           0 b           0 b          9400            --  
                       Conv2dRFFTPhasorFunction Step#10        11.04%        6.612s        14.03%        8.401s        8.401s       0.000us         0.00%        2.175s        2.175s          -4 b      -9.19 Mb           0 b      -2.62 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        11.04%        6.612s        14.03%        8.399s        8.399s       0.000us         0.00%        2.175s        2.175s          -4 b      -9.19 Mb           0 b      -2.62 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#9        11.03%        6.605s        14.03%        8.397s        8.397s       0.000us         0.00%        2.175s        2.175s          -4 b      -9.19 Mb           0 b      -2.62 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        11.03%        6.606s        14.02%        8.395s        8.395s       0.000us         0.00%        2.175s        2.175s      18.38 Mb       9.19 Mb           0 b      -2.62 Gb             1            --  
                                       aten::fft_irfftn         0.01%       5.855ms        12.20%        7.305s       5.911ms       0.000us         0.00%        1.701s       1.376ms           0 b           0 b      16.32 Gb           0 b          1236            --  
                                         aten::_fft_c2r         0.10%      59.907ms        12.19%        7.300s       5.906ms        1.406s         4.21%        1.701s       1.376ms           0 b           0 b      16.32 Gb     -61.95 Gb          1236            --  
                                              aten::abs         2.54%        1.520s        11.00%        6.583s       1.332ms       0.000us         0.00%     629.211ms     127.268us           0 b           0 b      17.31 Gb     -52.68 Gb          4944            --  
                                        cudaMemcpyAsync        10.36%        6.205s        10.36%        6.205s       2.585ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2400            --  
                                            aten::angle         2.51%        1.504s        10.15%        6.075s       1.229ms       0.000us         0.00%     626.513ms     126.722us           0 b           0 b      36.15 Gb     -52.68 Gb          4944            --  
                               Conv2dRFFTPhasorFunction         0.16%      96.621ms         9.95%        5.960s      14.465ms       0.000us         0.00%        8.534s      20.712ms           0 b           0 b       1.83 Gb    -968.91 Gb           412            --  
                                        aten::fft_rfftn         0.02%      10.641ms         8.64%        5.171s       2.510ms       0.000us         0.00%        1.264s     613.750us           0 b           0 b      34.22 Gb     -23.44 Gb          2060            --  
                                         aten::_fft_r2c         0.13%      78.542ms         7.44%        4.457s       2.163ms        1.105s         3.31%        1.105s     536.417us           0 b           0 b      31.61 Gb     -67.37 Gb          2060            --  
                                               aten::to         0.00%     225.000us         6.70%        4.012s      33.432ms       0.000us         0.00%      26.685ms     222.375us      36.75 Mb           0 b      36.75 Mb           0 b           120            --  
                                         aten::_to_copy         0.00%     293.000us         6.70%        4.012s     334.301ms       0.000us         0.00%      26.685ms       2.224ms      36.75 Mb           0 b      36.75 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     124.000us         6.68%        4.002s        1.000s       0.000us         0.00%      18.496ms       4.624ms      36.75 Mb           0 b     -36.75 Mb     -36.75 Mb             4            --  
                                        ToCopyBackward0         0.00%      22.000us         6.68%        4.002s        1.000s       0.000us         0.00%      18.496ms       4.624ms      36.75 Mb           0 b           0 b           0 b             4            --  
                                              aten::mul         0.13%      76.833ms         5.85%        3.503s     731.559us       15.668s        46.88%       15.668s       3.272ms        -200 b        -200 b    1753.81 Gb    1753.81 Gb          4788    189284.176  
                                            aten::clone         0.04%      22.656ms         5.17%        3.097s     769.723us       0.000us         0.00%     514.643ms     127.893us           0 b           0 b      56.78 Gb           0 b          4024            --  
                                  aten::constant_pad_nd         0.02%      10.086ms         3.03%        1.815s       1.473ms       0.000us         0.00%     184.435ms     149.704us           0 b           0 b      28.91 Gb           0 b          1232            --  
                                             aten::add_         0.03%      18.585ms         2.08%        1.246s     712.942us      14.986ms         0.04%      14.986ms       8.573us           0 b           0 b           0 b           0 b          1748            --  
                                              aten::sum         0.06%      37.479ms         1.91%        1.141s     735.095us        3.122s         9.34%        3.122s       2.012ms           0 b           0 b      18.08 Gb      18.08 Gb          1552            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       6.850ms         1.88%        1.125s     824.774us       0.000us         0.00%      11.931ms       8.747us           0 b           0 b     -13.06 Gb           0 b          1364            --  
                        torch::autograd::AccumulateGrad         0.01%       8.358ms         1.87%        1.118s     819.752us       0.000us         0.00%      11.931ms       8.747us           0 b           0 b     -13.06 Gb     -13.06 Gb          1364            --  
