-----------------------------------------------------------------------------------------------------------------------------
Showing ResNet18_CIFAR10_Conv2dRFFTFunction_date-20240125-063434.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         0.01%       4.560ms         1.84%        1.051s       2.920ms      14.097ms         0.05%      14.097ms      39.158us           0 b           0 b           0 b           0 b           360            --  
                        torch::autograd::AccumulateGrad         0.00%       1.878ms         1.83%        1.050s       4.167ms       0.000us         0.00%       4.498ms      17.849us           0 b           0 b      -3.21 Gb      -3.21 Gb           252            --  
                                              aten::exp         1.38%     791.215ms         1.38%     791.215ms       5.072ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     662.62 Gb     662.62 Gb           156            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%     690.000us         1.34%     764.441ms      27.301ms       0.000us         0.00%     120.755ms       4.313ms           0 b           0 b    -610.61 Mb      -1.77 Gb            28            --  
                                   ConvolutionBackward0         0.00%     356.000us         1.33%     761.765ms      27.206ms       0.000us         0.00%     116.385ms       4.157ms           0 b           0 b     863.14 Mb           0 b            28            --  
                             aten::convolution_backward         0.01%       3.715ms         1.33%     761.409ms      27.193ms     116.385ms         0.41%     116.385ms       4.157ms           0 b           0 b     863.14 Mb     832.79 Mb            28            --  
                                              aten::sum         0.01%       6.892ms         1.18%     678.034ms       4.238ms        2.920s        10.24%        2.920s      18.249ms           0 b           0 b       6.57 Gb       6.57 Gb           160            --  
                                            aten::fill_         0.00%       2.698ms         1.17%     669.366ms       2.535ms      46.092ms         0.16%      46.092ms     174.591us           0 b           0 b           0 b           0 b           264            --  
                                             aten::mul_         0.00%       2.290ms         0.89%     507.386ms       3.252ms       0.000us         0.00%      52.852ms     338.795us           0 b           8 b           0 b           0 b           156            --  
                                              aten::pad         0.00%     630.000us         0.81%     465.942ms       4.480ms       0.000us         0.00%      42.792ms     411.462us           0 b           0 b       2.92 Gb           0 b           104            --  
                                              aten::add         0.01%       3.915ms         0.71%     407.136ms       2.166ms        2.766s         9.70%        2.766s      14.714ms           0 b           0 b     332.21 Gb     332.21 Gb           188       859.308  
                                            aten::clone         0.00%       2.507ms         0.69%     397.480ms     955.481us       0.000us         0.00%     161.284ms     387.702us           0 b           0 b      17.84 Gb           0 b           416            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%       1.334ms         0.59%     335.731ms       4.197ms       0.000us         0.00%      53.920ms     674.000us           0 b           0 b      -1.66 Gb      -4.04 Gb            80            --  
